"","Order","BinPerm","CatPerm","ContPerm","BinRank","CatRank","ContRank","Bin%","Cat%","Cont%","BinRank%","CatRank%","ContRank%"
"DCLRE1C",10186,"1.41e-01","4.82e-03","3.52e-01","3699","233","4965","0.247","0.0144","0.357","0.228","0.0144","0.357"
"TP73",10187,"3.5e-02","2.25e-01","5.25e-01","1003","5153","7362","0.0669","0.318","0.529","0.0619","0.318","0.529"
"RCBTB1",10188,"7.23e-01","3.7e-01","9.02e-02","9325","7435","1399","0.622","0.459","0.101","0.575","0.459","0.101"
"C19orf54",10189,"8.39e-01","5.45e-01","4.31e-01","11230","9958","6057","0.749","0.615","0.435","0.693","0.614","0.435"
"PHF11",10190,"1.54e-01","3.79e-01","5.07e-01","3921","7566","7095","0.262","0.467","0.51","0.242","0.467","0.51"
"TPRG1L",10191,"3.8e-02","5.5e-01","8.96e-01","1125","10028","12478","0.0751","0.619","0.897","0.0694","0.619","0.897"
"CA9",10192,"1.43e-01","1.05e-01","7.61e-01","3738","2863","10594","0.249","0.177","0.762","0.231","0.177","0.762"
"APRT",10193,"9.59e-01","9.22e-01","5.09e-01","14032","15005","7137","0.936","0.926","0.513","0.866","0.926","0.513"
"HSPA14",10194,"7.24e-01","4.81e-01","1.55e-01","9340","9059","2268","0.623","0.559","0.163","0.576","0.559","0.163"
"ARHGEF16",10195,"4.31e-02","8.42e-02","8.18e-01","1278","2357","11372","0.0853","0.145","0.817","0.0788","0.145","0.817"
"MRS2",10196,"5.36e-01","3.17e-01","3.92e-02","7513","6639","661","0.501","0.41","0.0475","0.464","0.41","0.0475"
"ARHGEF39",10197,"9.03e-02","2.01e-01","7.37e-01","2640","4747","10275","0.176","0.293","0.739","0.163","0.293","0.739"
"ANKEF1",10198,"9.07e-01","9.15e-01","9.45e-01","12820","14919","13143","0.855","0.921","0.945","0.791","0.92","0.945"
"PKHD1L1",10199,"1.14e-01","2.76e-01","1.17e-01","3160","5978","1754","0.211","0.369","0.126","0.195","0.369","0.126"
"ACTRT2",10200,"1.06e-02","4.1e-01","9.74e-01","203","8033","13557","0.0135","0.496","0.974","0.0125","0.496","0.974"
"CCDC107",10201,"3.25e-01","2.41e-01","5.82e-01","5886","5445","8132","0.393","0.336","0.585","0.363","0.336","0.585"
"MMEL1",10202,"1.5e-01","3.46e-02","6.9e-01","3864","1141","9638","0.258","0.0704","0.693","0.238","0.0704","0.693"
"PAK5",10203,"7.69e-01","2.5e-01","3.65e-01","9975","5583","5165","0.666","0.345","0.371","0.615","0.344","0.371"
"LPAR6",10204,"9.54e-01","9.89e-01","7.56e-01","13935","16039","10525","0.93","0.99","0.757","0.86","0.99","0.757"
"ATP6AP2",10205,"8.78e-01","8.15e-01","1.83e-01","12118","13546","2659","0.809","0.836","0.191","0.748","0.836","0.191"
"BCOR",10206,"9.87e-01","6.01e-01","1.88e-01","14648","10703","2726","0.977","0.661","0.196","0.904","0.66","0.196"
"HES5",10207,"7.96e-01","6.66e-01","9.45e-01","10408","11545","13141","0.695","0.713","0.945","0.642","0.712","0.945"
"DCDC2",10208,"3.17e-01","5.46e-01","8.86e-01","5825","9978","12338","0.389","0.616","0.887","0.359","0.616","0.887"
"NUP160",10209,"9.04e-01","3.98e-01","2.98e-01","12736","7840","4221","0.85","0.484","0.303","0.786","0.484","0.303"
"PANK4",10210,"4.71e-01","4.59e-01","9.7e-01","7040","8745","13502","0.47","0.54","0.971","0.434","0.54","0.971"
"NRSN1",10211,"2.44e-01","1.23e-01","6.9e-01","5128","3240","9641","0.342","0.2","0.693","0.316","0.2","0.693"
"CAMKMT",10212,"9.58e-02","7.29e-01","5.21e-01","2773","12342","7298","0.185","0.762","0.525","0.171","0.761","0.525"
"PLCB4",10213,"2.65e-01","5.52e-01","6.38e-01","5344","10050","8899","0.357","0.62","0.64","0.33","0.62","0.64"
"SLC35B4",10214,"8.39e-01","2.19e-01","6.78e-02","11231","5057","1060","0.749","0.312","0.0762","0.693","0.312","0.0762"
"LIG3",10215,"9.55e-01","4.12e-01","2.58e-01","13944","8061","3682","0.93","0.498","0.265","0.86","0.497","0.265"
"MORN1",10216,"1.22e-01","6.49e-01","5.86e-02","3336","11296","933","0.223","0.697","0.0671","0.206","0.697","0.0671"
"SRPX",10217,"9.84e-02","8.28e-02","4.55e-01","2829","2322","6377","0.189","0.143","0.458","0.175","0.143","0.458"
"SKI",10218,"4.46e-02","5.57e-01","7.94e-01","1333","10112","11034","0.0889","0.624","0.793","0.0822","0.624","0.793"
"PRPF18",10219,"NA","5.39e-01","5.1e-02","15794","9887","829","NA","0.61","0.0596","0.974","0.61","0.0596"
"DYNLT3",10220,"4.35e-01","5.24e-01","9.86e-01","6775","9694","13732","0.452","0.598","0.987","0.418","0.598","0.987"
"CYBB",10221,"8.62e-01","4.2e-01","7.9e-01","11739","8171","10980","0.783","0.504","0.789","0.724","0.504","0.789"
"C11orf49",10222,"8.28e-01","3.7e-01","2.97e-01","11024","7430","4206","0.736","0.459","0.302","0.68","0.458","0.302"
"XK",10223,"4.94e-01","1.91e-02","8.31e-01","7199","717","11569","0.48","0.0443","0.832","0.444","0.0442","0.832"
"PIGO",10224,"3.26e-02","8.47e-02","2.99e-02","928","2363","516","0.0619","0.146","0.0371","0.0573","0.146","0.0371"
"LANCL3",10225,"6.28e-01","4.61e-01","8.85e-01","8293","8756","12323","0.553","0.54","0.886","0.512","0.54","0.886"
"LRP4",10226,"8.13e-01","5.6e-02","6.25e-01","10738","1739","8728","0.717","0.107","0.627","0.662","0.107","0.627"
"FANCG",10227,"8.47e-01","3.34e-01","2.03e-01","11397","6895","2926","0.761","0.426","0.21","0.703","0.425","0.21"
"CFAP47",10228,"5.17e-01","3.47e-01","3.76e-02","7380","7077","629","0.492","0.437","0.0452","0.455","0.437","0.0452"
"COX7A2L",10229,"9.77e-01","3.05e-01","5.37e-01","14481","6454","7505","0.966","0.398","0.54","0.893","0.398","0.539"
"GDF9",10230,"5.57e-01","4.68e-01","7.55e-02","7692","8872","1177","0.513","0.548","0.0846","0.475","0.547","0.0846"
"SHROOM1",10231,"9.58e-01","4.86e-01","8.98e-01","14009","9152","12511","0.935","0.565","0.899","0.864","0.565","0.899"
"UCMA",10232,"9.92e-01","7.65e-01","5.97e-01","14762","12814","8344","0.985","0.791","0.6","0.911","0.791","0.6"
"GLIPR1L1",10233,"6.48e-01","6.12e-02","7.01e-01","8490","1852","9797","0.567","0.114","0.704","0.524","0.114","0.704"
"ID4",10234,"NA","2.39e-01","NA","15795","5394","NA","NA","0.333","NA","0.974","0.333","NA"
"MCM10",10235,"1.07e-01","8.26e-02","4.25e-01","3009","2315","5962","0.201","0.143","0.429","0.186","0.143","0.429"
"SEPTIN8",10236,"1.1e-01","9.19e-01","2.24e-01","3070","14956","3208","0.205","0.923","0.231","0.189","0.923","0.231"
"ESD",10237,"9.8e-01","2.81e-01","2.65e-01","14532","6067","3773","0.97","0.374","0.271","0.897","0.374","0.271"
"TMEM240",10238,"NA","5.01e-02","NA","15796","1594","NA","NA","0.0984","NA","0.975","0.0983","NA"
"ZFC3H1",10239,"6.04e-02","2.84e-01","2.32e-01","1828","6107","3322","0.122","0.377","0.239","0.113","0.377","0.239"
"OPTN",10240,"6.48e-01","5.75e-01","9.89e-01","8498","10362","13774","0.567","0.64","0.99","0.524","0.639","0.99"
"ATAD3A",10241,"8.33e-01","5.98e-01","NA","11122","10660","NA","0.742","0.658","NA","0.686","0.658","NA"
"ATAD3C",10242,"1.42e-01","5.08e-01","1.82e-01","3707","9460","2637","0.247","0.584","0.19","0.229","0.584","0.19"
"HAO1",10243,"3.44e-02","6.84e-01","8.42e-01","984","11747","11723","0.0657","0.725","0.843","0.0607","0.725","0.843"
"CCL19",10244,"4.03e-02","9.61e-02","NA","1202","2651","NA","0.0802","0.164","NA","0.0742","0.164","NA"
"CYP4V2",10245,"9.62e-01","4.14e-01","4.01e-01","14112","8082","5633","0.942","0.499","0.405","0.871","0.499","0.405"
"RAD50",10246,"1.76e-01","4.98e-01","3.03e-01","4270","9335","4288","0.285","0.576","0.308","0.263","0.576","0.308"
"CCDC3",10247,"9.21e-01","8.65e-01","2.07e-02","13151","14233","396","0.878","0.878","0.0285","0.811","0.878","0.0285"
"BMP2",10248,"7.61e-01","8.33e-01","6.41e-01","9845","13792","8932","0.657","0.851","0.642","0.607","0.851","0.642"
"ACCSL",10249,"2.08e-01","8.69e-01","NA","4715","14296","NA","0.315","0.882","NA","0.291","0.882","NA"
"GALT",10250,"7.56e-01","6.75e-01","9.19e-01","9784","11651","12826","0.653","0.719","0.922","0.604","0.719","0.922"
"C4orf47",10251,"1.03e-01","4.99e-02","5.02e-01","2928","1591","7026","0.195","0.0982","0.505","0.181","0.0982","0.505"
"LRRN4",10252,"8.43e-01","1.38e-01","9.48e-01","11305","3543","13188","0.754","0.219","0.948","0.697","0.219","0.948"
"CRLS1",10253,"9.28e-01","3.91e-01","2.32e-01","13329","7734","3325","0.889","0.477","0.239","0.822","0.477","0.239"
"ALKBH6",10254,"4.72e-01","9.55e-02","6.56e-01","7043","2635","9145","0.47","0.163","0.657","0.435","0.163","0.657"
"SDHAF1",10255,"2.26e-01","8.63e-01","6.83e-01","4932","14216","9542","0.329","0.877","0.686","0.304","0.877","0.686"
"DVL1",10256,"1.27e-01","1.74e-01","5e-01","3436","4259","6995","0.229","0.263","0.503","0.212","0.263","0.503"
"DHRS13",10257,"1.32e-01","7.05e-02","2.32e-01","3544","2067","3320","0.236","0.128","0.239","0.219","0.128","0.239"
"ARID3C",10258,"2.05e-01","2.87e-01","2.46e-02","4677","6164","438","0.312","0.38","0.0315","0.289","0.38","0.0315"
"NPHS1",10259,"9.31e-01","2.4e-01","9.9e-01","13425","5424","13788","0.896","0.335","0.991","0.828","0.335","0.991"
"FCSK",10260,"1.9e-01","8.59e-01","2.27e-03","4474","14174","79","0.299","0.875","0.00568","0.276","0.874","0.00568"
"PGPEP1L",10261,"9.38e-01","7.6e-01","8.45e-01","13569","12747","11763","0.905","0.787","0.846","0.837","0.786","0.846"
"TAB3",10262,"6.15e-01","4.16e-01","3.24e-01","8171","8108","4589","0.545","0.5","0.33","0.504","0.5","0.33"
"ATL2",10263,"9.54e-01","1.17e-01","8.65e-01","13927","3132","12059","0.929","0.193","0.867","0.859","0.193","0.867"
"CHGB",10264,"1.68e-01","5.51e-01","8.84e-01","4139","10039","12305","0.276","0.62","0.884","0.255","0.619","0.884"
"CXorf21",10265,"6.36e-02","4.43e-02","7.37e-01","1928","1424","10274","0.129","0.0879","0.738","0.119","0.0879","0.738"
"NR0B1",10266,"3.23e-01","7.61e-01","NA","5872","12755","NA","0.392","0.787","NA","0.362","0.787","NA"
"IL1RAPL1",10267,"8.04e-01","8.32e-01","2.13e-01","10565","13774","3055","0.705","0.85","0.22","0.652","0.85","0.22"
"C11orf91",10268,"9.79e-01","9.74e-01","7.57e-01","14510","15794","10532","0.968","0.975","0.757","0.895","0.974","0.757"
"GPCPD1",10269,"8.8e-01","3.42e-01","4.74e-01","12154","7015","6632","0.811","0.433","0.477","0.75","0.433","0.477"
"NRCAM",10270,"8.65e-01","1.9e-02","8.43e-01","11824","713","11732","0.789","0.044","0.843","0.729","0.044","0.843"
"PUSL1",10271,"7.72e-02","9.34e-01","2.91e-01","2295","15178","4123","0.153","0.937","0.296","0.142","0.936","0.296"
"ARX",10272,"7.29e-01","9.57e-02","8.91e-01","9398","2640","12419","0.627","0.163","0.893","0.58","0.163","0.893"
"RBM24",10273,"NA","3.95e-01","NA","15797","7791","NA","NA","0.481","NA","0.975","0.481","NA"
"POLA1",10274,"6.36e-01","8.18e-01","7.3e-01","8372","13589","10183","0.559","0.839","0.732","0.517","0.838","0.732"
"FABP9",10275,"1.64e-01","1.18e-01","9.09e-01","4098","3153","12668","0.273","0.195","0.911","0.253","0.195","0.911"
"FAM219A",10276,"NA","2.07e-01","NA","15798","4847","NA","NA","0.299","NA","0.975","0.299","NA"
"NGRN",10277,"2.1e-01","7.69e-01","9.73e-01","4740","12863","13541","0.316","0.794","0.973","0.292","0.794","0.973"
"KCTD4",10278,"NA","8.52e-01","2.96e-01","15799","14080","4189","NA","0.869","0.301","0.975","0.869","0.301"
"PCYT1B",10279,"NA","7.42e-01","NA","15800","12501","NA","NA","0.772","NA","0.975","0.771","NA"
"GPALPP1",10280,"6.73e-01","7.28e-01","6.89e-01","8738","12310","9617","0.583","0.76","0.691","0.539","0.759","0.691"
"CD83",10281,"8.51e-01","2.34e-01","3.26e-01","11506","5311","4625","0.768","0.328","0.332","0.71","0.328","0.332"
"PCNA",10282,"NA","5.58e-01","NA","15801","10131","NA","NA","0.625","NA","0.975","0.625","NA"
"NUFIP1",10283,"3.74e-01","9.93e-01","4.33e-01","6279","16098","6078","0.419","0.994","0.437","0.387","0.993","0.437"
"ELP4",10284,"8.83e-01","6.32e-01","3.29e-01","12244","11089","4656","0.817","0.684","0.335","0.755","0.684","0.335"
"MCUR1",10285,"3.64e-01","8.25e-01","1.78e-01","6189","13694","2575","0.413","0.845","0.185","0.382","0.845","0.185"
"KIF24",10286,"4.23e-01","8.47e-01","9.74e-01","6654","13986","13563","0.444","0.863","0.975","0.411","0.863","0.975"
"B3GALT6",10287,"6.79e-01","4.29e-02","NA","8802","1376","NA","0.587","0.0849","NA","0.543","0.0849","NA"
"C4orf46",10288,"8.24e-01","6.41e-01","2.9e-01","10949","11203","4102","0.731","0.691","0.295","0.675","0.691","0.295"
"LGR4",10289,"9.58e-01","4.74e-01","9.03e-01","14017","8952","12581","0.935","0.553","0.904","0.865","0.552","0.904"
"ECHDC3",10290,"3.18e-01","1.4e-01","3.63e-02","5831","3603","611","0.389","0.222","0.0439","0.36","0.222","0.0439"
"DNAJC15",10291,"9.72e-01","8.36e-01","9.23e-01","14337","13844","12871","0.957","0.854","0.925","0.885","0.854","0.925"
"APOO",10292,"4.59e-01","5.9e-01","3.28e-01","6952","10552","4649","0.464","0.651","0.334","0.429","0.651","0.334"
"TNFRSF4",10293,"9.83e-01","9.02e-01","6.91e-01","14587","14727","9657","0.973","0.909","0.694","0.9","0.909","0.694"
"USP6NL",10294,"9.72e-01","6.84e-01","6.38e-01","14346","11754","8893","0.957","0.725","0.639","0.885","0.725","0.639"
"VIT",10295,"2.48e-01","7.43e-01","5.48e-01","5162","12512","7662","0.344","0.772","0.551","0.318","0.772","0.551"
"FEZ2",10296,"9.66e-01","3.1e-02","1.56e-01","14216","1047","2288","0.949","0.0646","0.164","0.877","0.0646","0.164"
"DNAJC2",10297,"7e-01","1.49e-01","5.32e-01","9052","3775","7446","0.604","0.233","0.535","0.558","0.233","0.535"
"TNFRSF18",10298,"3.04e-01","9.05e-01","8.49e-01","5705","14767","11822","0.381","0.911","0.85","0.352","0.911","0.85"
"SAT1",10299,"NA","9.94e-01","5.65e-01","15802","16108","7895","NA","0.994","0.567","0.975","0.994","0.567"
"GFOD1",10300,"1.72e-02","1.06e-01","1.52e-01","399","2906","2219","0.0266","0.179","0.16","0.0246","0.179","0.16"
"TBC1D7",10301,"8e-01","1.74e-01","8.62e-01","10487","4247","12025","0.7","0.262","0.864","0.647","0.262","0.864"
"ACOT9",10302,"7.87e-01","4.8e-01","8.68e-01","10257","9051","12093","0.684","0.559","0.869","0.633","0.558","0.869"
"VWA8",10303,"7.08e-01","7e-01","3.69e-01","9136","11962","5225","0.61","0.738","0.376","0.564","0.738","0.376"
"SLC23A2",10304,"9.2e-01","7.46e-01","1.64e-01","13124","12549","2379","0.876","0.775","0.171","0.81","0.774","0.171"
"PRDX4",10305,"7.48e-02","4.23e-01","7.44e-01","2221","8198","10376","0.148","0.506","0.746","0.137","0.506","0.746"
"RGCC",10306,"8.58e-01","9.68e-01","3.88e-01","11659","15705","5470","0.778","0.969","0.393","0.719","0.969","0.393"
"PTCHD1",10307,"8.7e-01","7.4e-01","5.54e-01","11916","12472","7733","0.795","0.77","0.556","0.735","0.769","0.556"
"AGRN",10308,"9.11e-01","7e-01","6.43e-02","12906","11958","1020","0.861","0.738","0.0733","0.796","0.738","0.0733"
"PHEX",10309,"6.43e-01","9.27e-02","9.35e-01","8444","2572","13019","0.563","0.159","0.936","0.521","0.159","0.936"
"EDN1",10310,"9.2e-01","7.63e-01","5.7e-01","13133","12786","7955","0.876","0.789","0.572","0.81","0.789","0.572"
"E2F4",10311,"8.31e-03","9.79e-02","1.91e-01","117","2699","2766","0.00781","0.167","0.199","0.00722","0.167","0.199"
"LYRM7",10312,"3.7e-01","9.26e-01","4.86e-01","6249","15059","6793","0.417","0.929","0.488","0.386","0.929","0.488"
"HIVEP1",10313,"8.92e-01","9.45e-01","6.44e-01","12471","15341","8974","0.832","0.947","0.645","0.769","0.946","0.645"
"RASSF2",10314,"1.15e-01","4.81e-01","3.77e-01","3175","9069","5350","0.212","0.56","0.385","0.196","0.56","0.385"
"NAA16",10315,"4.66e-01","5.41e-02","5.66e-01","7005","1698","7903","0.467","0.105","0.568","0.432","0.105","0.568"
"PLEKHN1",10316,"7.39e-01","3.12e-01","5.26e-02","9514","6550","858","0.635","0.404","0.0617","0.587","0.404","0.0617"
"XDH",10317,"8.95e-01","9.55e-01","8.75e-01","12523","15503","12173","0.836","0.957","0.875","0.773","0.956","0.875"
"TMEM170B",10318,"NA","9.06e-01","NA","15803","14774","NA","NA","0.912","NA","0.975","0.911","NA"
"NEDD9",10319,"9.98e-01","1.62e-01","8.89e-01","14870","4018","12385","0.992","0.248","0.89","0.917","0.248","0.89"
"ADRA1D",10320,"9.49e-01","9.09e-01","4.01e-02","13789","14836","676","0.92","0.916","0.0486","0.851","0.915","0.0486"
"ASPH",10321,"1.89e-01","1.16e-01","6.86e-01","4450","3117","9584","0.297","0.192","0.689","0.275","0.192","0.689"
"MTRF1",10322,"9.87e-01","8.84e-01","9.72e-01","14657","14507","13531","0.978","0.895","0.973","0.904","0.895","0.973"
"KBTBD7",10323,"3.49e-02","1.62e-02","2.23e-01","1000","624","3193","0.0667","0.0385","0.23","0.0617","0.0385","0.23"
"MBTPS2",10324,"5.77e-01","8.99e-01","7.31e-01","7846","14699","10189","0.524","0.907","0.732","0.484","0.907","0.732"
"KBTBD6",10325,"3.3e-02","2.96e-01","NA","938","6307","NA","0.0626","0.389","NA","0.0579","0.389","NA"
"WBP4",10326,"8.27e-01","6.96e-01","5.06e-01","11016","11926","7084","0.735","0.736","0.509","0.68","0.736","0.509"
"GCM2",10327,"2.06e-01","2.32e-01","7.99e-01","4694","5283","11104","0.313","0.326","0.798","0.29","0.326","0.798"
"SMPX",10328,"1.57e-01","3.31e-01","9.36e-01","3975","6848","13035","0.265","0.423","0.937","0.245","0.422","0.937"
"KLHL34",10329,"1.73e-02","1.37e-02","4.76e-01","406","545","6661","0.0271","0.0336","0.479","0.025","0.0336","0.479"
"TOM1L2",10330,"9.85e-01","3.96e-01","8.08e-01","14624","7814","11208","0.976","0.482","0.806","0.902","0.482","0.806"
"AQP7",10331,"4.67e-01","1.13e-02","6.36e-01","7012","472","8865","0.468","0.0291","0.637","0.433","0.0291","0.637"
"CNKSR2",10332,"4.9e-01","7.35e-01","5.03e-01","7172","12405","7045","0.479","0.766","0.506","0.442","0.765","0.506"
"SNX2",10333,"5.36e-01","6.01e-01","3.01e-01","7510","10705","4259","0.501","0.661","0.306","0.463","0.66","0.306"
"YPEL5",10334,"NA","7.58e-01","NA","15804","12713","NA","NA","0.785","NA","0.975","0.784","NA"
"NFX1",10335,"9.14e-02","4.93e-01","8.39e-01","2670","9259","11689","0.178","0.571","0.84","0.165","0.571","0.84"
"ELF2",10336,"8.47e-01","3.94e-01","2.98e-01","11393","7779","4210","0.76","0.48","0.303","0.703","0.48","0.303"
"INSC",10337,"8.52e-01","9.35e-01","2.81e-01","11529","15190","3995","0.769","0.938","0.287","0.711","0.937","0.287"
"TOGARAM2",10338,"7.77e-03","1.26e-01","1.18e-01","94","3308","1758","0.00627","0.204","0.126","0.0058","0.204","0.126"
"FOXO1",10339,"9.48e-01","2.36e-01","7.91e-02","13777","5352","1240","0.919","0.33","0.0891","0.85","0.33","0.0891"
"KIN",10340,"2.35e-01","8.84e-01","1.06e-01","5036","14518","1609","0.336","0.896","0.116","0.311","0.896","0.116"
"RPS6KA3",10341,"NA","3.18e-01","NA","15805","6646","NA","NA","0.41","NA","0.975","0.41","NA"
"PAK1IP1",10342,"1.52e-01","3.68e-02","2.87e-01","3892","1206","4069","0.26","0.0744","0.292","0.24","0.0744","0.292"
"SPDYA",10343,"5.53e-01","6.23e-01","8.38e-01","7659","10986","11675","0.511","0.678","0.839","0.473","0.678","0.839"
"LHFPL6",10344,"4.51e-01","9.61e-01","3.3e-01","6891","15609","4679","0.46","0.963","0.336","0.425","0.963","0.336"
"NHLRC3",10345,"3.54e-02","2e-01","5.11e-01","1026","4725","7165","0.0685","0.292","0.515","0.0633","0.292","0.515"
"CCDC112",10346,"1.17e-01","2.24e-01","6.97e-01","3205","5132","9743","0.214","0.317","0.7","0.198","0.317","0.7"
"TFAP2A",10347,"NA","8.44e-01","NA","15806","13944","NA","NA","0.861","NA","0.975","0.86","NA"
"STOML3",10348,"5.64e-01","6.85e-02","2.03e-01","7747","2018","2928","0.517","0.125","0.21","0.478","0.124","0.21"
"REEP5",10349,"1.53e-01","8.93e-01","2.02e-01","3899","14610","2917","0.26","0.902","0.21","0.241","0.901","0.21"
"MAP7D2",10350,"1.58e-01","3.09e-03","3.86e-01","3998","177","5454","0.267","0.0109","0.392","0.247","0.0109","0.392"
"HGSNAT",10351,"1.74e-01","1.13e-01","3.02e-01","4234","3038","4269","0.283","0.188","0.307","0.261","0.187","0.307"
"TRPC3",10352,"8.94e-01","5.18e-01","7.41e-01","12498","9591","10334","0.834","0.592","0.743","0.771","0.592","0.743"
"KATNB1",10353,"1.81e-02","2.11e-01","1.54e-01","431","4900","2254","0.0288","0.302","0.162","0.0266","0.302","0.162"
"ARHGAP44",10354,"2.19e-01","2.88e-01","7.24e-01","4848","6172","10093","0.324","0.381","0.725","0.299","0.381","0.725"
"BCLAF3",10355,"4.72e-01","8.13e-01","6.69e-01","7046","13516","9331","0.47","0.834","0.671","0.435","0.834","0.671"
"NDNF",10356,"8.56e-01","8.26e-01","7.86e-01","11615","13707","10923","0.775","0.846","0.785","0.717","0.846","0.785"
"BAG1",10357,"8e-01","9.33e-01","2.57e-01","10486","15155","3664","0.7","0.935","0.263","0.647","0.935","0.263"
"EEF1E1",10358,"8.93e-01","4.66e-01","5.13e-01","12478","8842","7199","0.833","0.546","0.517","0.77","0.545","0.517"
"IPO7",10359,"NA","1.88e-01","NA","15807","4506","NA","NA","0.278","NA","0.975","0.278","NA"
"SPINK4",10360,"1.21e-01","7.79e-01","3.62e-02","3316","13002","609","0.221","0.802","0.0438","0.205","0.802","0.0438"
"B4GALT1",10361,"6.99e-02","6.05e-02","5.42e-02","2090","1838","886","0.139","0.113","0.0637","0.129","0.113","0.0637"
"POSTN",10362,"1.56e-02","2.8e-01","2.06e-01","347","6054","2957","0.0232","0.374","0.213","0.0214","0.373","0.213"
"CENPB",10363,"1.42e-01","2.14e-01","NA","3722","4970","NA","0.248","0.307","NA","0.23","0.307","NA"
"SPEF1",10364,"6.99e-02","2.33e-01","9.34e-01","2091","5305","13003","0.14","0.327","0.935","0.129","0.327","0.935"
"TXNDC5",10365,"9.31e-01","9.9e-01","7.57e-01","13431","16053","10530","0.896","0.991","0.757","0.829","0.99","0.757"
"ADPRM",10366,"2.73e-01","8.47e-01","3.86e-01","5414","13991","5453","0.361","0.864","0.392","0.334","0.863","0.392"
"DSP",10367,"9.14e-01","2.1e-01","8.7e-01","12990","4892","12116","0.867","0.302","0.871","0.801","0.302","0.871"
"SIN3B",10368,"3.79e-01","5.57e-02","4.17e-01","6319","1732","5856","0.422","0.107","0.421","0.39","0.107","0.421"
"PDHA1",10369,"7.24e-01","2.63e-01","1.45e-01","9338","5783","2106","0.623","0.357","0.151","0.576","0.357","0.151"
"APTX",10370,"1.35e-01","5.77e-02","9.16e-02","3587","1784","1417","0.239","0.11","0.102","0.221","0.11","0.102"
"SMAD9",10371,"9.56e-01","1.63e-01","6.34e-02","13976","4043","1009","0.933","0.25","0.0725","0.862","0.249","0.0725"
"OR10A4",10372,"4.5e-01","1.63e-01","2.28e-01","6882","4037","3257","0.459","0.249","0.234","0.425","0.249","0.234"
"RIOK1",10373,"9.87e-01","2.9e-01","1.02e-01","14663","6204","1550","0.978","0.383","0.111","0.905","0.383","0.111"
"NDUFB6",10374,"1.86e-01","4.66e-01","3.38e-01","4407","8844","4787","0.294","0.546","0.344","0.272","0.546","0.344"
"NRBP1",10375,"NA","8.69e-01","NA","15808","14290","NA","NA","0.882","NA","0.975","0.882","NA"
"ADGRG2",10376,"3.72e-02","4.32e-02","6.79e-01","1090","1386","9484","0.0727","0.0855","0.682","0.0672","0.0855","0.682"
"SOHLH2",10377,"9.43e-01","9.43e-01","8.48e-01","13675","15309","11806","0.913","0.945","0.849","0.844","0.944","0.849"
"DDX58",10378,"2.48e-01","9.2e-01","5.12e-01","5188","14983","7175","0.346","0.925","0.516","0.32","0.924","0.516"
"ARIH1",10379,"NA","3.07e-02","NA","15809","1038","NA","NA","0.0641","NA","0.975","0.064","NA"
"RBM17",10380,"NA","7.93e-01","NA","15810","13204","NA","NA","0.815","NA","0.975","0.815","NA"
"ADAM32",10381,"6.52e-02","1.22e-01","8.55e-01","1969","3215","11900","0.131","0.198","0.855","0.121","0.198","0.855"
"MAB21L1",10382,"NA","5.53e-01","NA","15811","10073","NA","NA","0.622","NA","0.975","0.621","NA"
"CNGA4",10383,"1.5e-02","2.71e-01","8.96e-01","331","5911","12476","0.0221","0.365","0.897","0.0204","0.365","0.897"
"RREB1",10384,"3.05e-01","4.92e-01","9.89e-01","5724","9245","13770","0.382","0.571","0.99","0.353","0.57","0.99"
"PHKA2",10385,"7.56e-01","6.05e-01","2.91e-02","9782","10751","510","0.653","0.664","0.0367","0.603","0.663","0.0367"
"LY86",10386,"1.32e-01","5.27e-02","9.17e-01","3558","1653","12784","0.237","0.102","0.919","0.22","0.102","0.919"
"LETM2",10387,"8.02e-01","6.37e-01","6.26e-02","10517","11154","1001","0.702","0.688","0.072","0.649","0.688","0.072"
"IL2RA",10388,"8.57e-01","8.19e-01","4.78e-01","11646","13593","6701","0.777","0.839","0.482","0.718","0.839","0.482"
"IL15RA",10389,"9.76e-01","8.32e-01","5.3e-01","14447","13778","7423","0.964","0.85","0.534","0.891","0.85","0.534"
"RHOBTB3",10390,"6.96e-01","4.01e-03","1.48e-01","9010","205","2158","0.601","0.0127","0.155","0.556","0.0126","0.155"
"RS1",10391,"5.59e-01","8.81e-01","2.18e-01","7715","14467","3126","0.515","0.893","0.225","0.476","0.893","0.225"
"LINGO2",10392,"8.94e-01","7.27e-01","2.1e-01","12499","12288","3019","0.834","0.758","0.217","0.771","0.758","0.217"
"FBH1",10393,"5.87e-01","9.49e-01","3e-01","7923","15398","4239","0.529","0.95","0.305","0.489","0.95","0.305"
"GPR150",10394,"8.09e-01","2.73e-01","1.7e-01","10651","5936","2459","0.711","0.366","0.177","0.657","0.366","0.177"
"ARSK",10395,"4.64e-02","8.56e-01","3.62e-01","1386","14119","5120","0.0925","0.871","0.368","0.0855","0.871","0.368"
"SKOR1",10396,"1.83e-01","1.92e-01","1.2e-01","4370","4585","1781","0.292","0.283","0.128","0.27","0.283","0.128"
"TEK",10397,"8.44e-01","1.37e-01","8.8e-01","11329","3528","12257","0.756","0.218","0.881","0.699","0.218","0.881"
"CDK14",10398,"5.43e-01","7.02e-01","7.56e-02","7572","11992","1182","0.505","0.74","0.085","0.467","0.74","0.085"
